,Date,Entry_Price,Exit_Price,Exit_date,Ret,Shares,Signal,Ticker
228356,2007-04-11,426.5,456.75,2007-04-25,0.07092614302461908,2793.6969790672097,Buy,NIITTECH
366903,2007-04-11,150.45,152.95,2007-04-25,0.016616816218012698,7919.652785458059,Buy,YESBANK
180142,2007-04-11,609.4,723.5,2007-04-25,0.1872333442730556,1955.2211381230145,Buy,JETAIRWAYS
4995,2007-04-11,732.45,833.05,2007-04-25,-0.12076105875997833,1626.7482580000885,Sell,ACC
29229,2007-04-11,75.5,84.1,2007-04-25,-0.10225921521997616,15781.612736055165,Sell,ANDHRABANK
304,2007-04-11,1042.0,1179.9,2007-04-25,-0.11687431138232063,1143.485375789026,Sell,ABIRLANUVO
54917,2007-04-11,312.0,321.75,2007-04-25,-0.030303030303030276,3818.947953756939,Sell,BHARATFORG
340533,2007-04-11,56.65,60.8,2007-04-25,-0.06825657894736836,21032.86428194466,Sell,TVSMOTOR
70068,2007-04-11,125.0,136.55,2007-04-25,-0.08458440131819855,9532.09409257732,Sell,CAIRN
50096,2007-04-11,1002.75,972.0,2007-04-25,0.03163580246913589,1188.2440903237746,Sell,BEML
257061,2007-04-11,60.05,58.6,2007-04-25,0.024744027303754246,19841.994364232556,Sell,PTC
164632,2007-04-11,99.7,98.0,2007-04-25,0.0173469387755103,11950.97052730356,Sell,IGL
116131,2007-04-11,231.25,274.2,2007-04-25,-0.1566374908825674,5152.483293285038,Sell,EICHERMOT
291978,2007-04-25,160.1,156.85,2007-05-09,-0.020299812617114332,7376.997578869776,Buy,SRF
325155,2007-04-25,571.15,562.35,2007-05-09,-0.015407511161691256,2067.8583776189284,Buy,TATASTEEL
129612,2007-04-25,144.15,137.15,2007-05-09,-0.048560527228581285,8193.252253742983,Buy,GODREJCP
132479,2007-04-25,118.55,126.05,2007-05-09,0.06326444538169551,9962.524777537335,Buy,GRANULES
217365,2007-04-25,73.9,70.8,2007-05-09,-0.041948579161028565,15981.831019987158,Buy,MCLEODRUSS
240326,2007-04-25,213.9,195.45,2007-05-09,-0.08625525946704071,5521.539562305054,Buy,ORIENTBANK
307226,2007-04-25,78.25,79.7,2007-05-09,0.018530351437699766,15093.384183732282,Buy,SYNDIBANK
180152,2007-04-25,723.5,712.3,2007-05-09,-0.01548030407740153,1632.4219936102986,Buy,JETAIRWAYS
161400,2007-04-25,39.8,48.1,2007-05-09,0.20854271356783927,29674.8068436445,Buy,IFCI
45416,2007-04-25,199.15,194.05,2007-05-09,-0.025608837559628395,5930.491149269651,Buy,BANKINDIA
328229,2007-04-25,1221.35,1239.5,2007-05-09,-0.014643001210165485,967.0097125124256,Sell,TCS
111454,2007-04-25,709.75,691.55,2007-05-09,0.026317692140843008,1664.0469353674548,Sell,DRREDDY
54927,2007-04-25,321.75,342.85,2007-05-09,-0.06154294881143363,3670.729797597672,Sell,BHARATFORG
300324,2007-04-25,338.1,323.3,2007-05-09,0.04577791524899477,3493.2189067644213,Sell,STAR
311917,2007-04-25,220.65,227.7,2007-05-09,-0.030961791831356944,5352.627747006803,Sell,TATACHEM
164642,2007-04-25,98.0,98.3,2007-05-09,-0.003051881993896166,12051.605228337256,Sell,IGL
207346,2007-04-25,145.7,152.7,2007-05-09,-0.045841519318925994,8106.089995724441,Sell,LICHSGFIN
340543,2007-04-25,60.8,62.45,2007-05-09,-0.026421136909527743,19425.2847430436,Sell,TVSMOTOR
202655,2007-04-25,172.1,175.95,2007-05-09,-0.021881216254617808,6862.622384526735,Sell,KTKBANK
50106,2007-04-25,972.0,963.4,2007-05-09,0.008926717874195633,1215.0795394825627,Sell,BEML
161408,2007-05-09,48.1,46.9,2007-05-23,-0.02494802494802506,25263.09603607337,Buy,IFCI
116149,2007-05-09,254.4,275.55,2007-05-23,0.08313679245283012,4776.55235587708,Buy,EICHERMOT
307234,2007-05-09,79.7,81.15,2007-05-23,0.018193224592220947,15246.61128400413,Buy,SYNDIBANK
291986,2007-05-09,156.85,164.55,2007-05-23,0.0490914886834557,7747.242074179976,Buy,SRF
125746,2007-05-09,436.7,473.85,2007-05-23,0.08506984199679413,2782.585114117539,Buy,GMRINFRA
217373,2007-05-09,70.8,60.8,2007-05-23,-0.14124293785310738,17163.205075354934,Buy,MCLEODRUSS
45424,2007-05-09,194.05,213.35,2007-05-23,0.09945890234475652,6262.071215331765,Buy,BANKINDIA
